===============================================================================
Id,newsRACE,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
70,newsRACE,70,2021-03-05 17:00:00,185.6699981689453,185.9199981689453,185.66000366210938,185.9199981689453,1.3781752100023355e-06,,-0.25345275831025504,MA_cross_Sentiment,70,737854.7083333334,Broker,70,1000.0,1000.0,BuySell,70,,,Trades - Net Profit/Loss,70,,,DrawDown,70,0.0,0.0
71,newsRACE,71,2021-03-05 17:02:00,185.99000549316406,186.1300048828125,185.9250030517578,185.9250030517578,1.694434623241399e-06,,-0.2800012866032642,MA_cross_Sentiment,71,737854.7097222222,Broker,71,1000.0,1000.0,BuySell,71,,,Trades - Net Profit/Loss,71,,,DrawDown,71,0.0,0.0
72,newsRACE,72,2021-03-05 17:04:00,185.93499755859375,185.93499755859375,185.93499755859375,185.93499755859375,2.040538346575859e-06,,-0.30413506274415936,MA_cross_Sentiment,72,737854.7111111111,Broker,72,1000.0,1000.0,BuySell,72,,,Trades - Net Profit/Loss,72,,,DrawDown,72,0.0,0.0
73,newsRACE,73,2021-03-05 17:06:00,185.93499755859375,186.08999633789062,185.93499755859375,186.08999633789062,2.416486380005716e-06,,-0.3258540867329407,MA_cross_Sentiment,73,737854.7125,Broker,73,1000.0,1000.0,BuySell,73,,,Trades - Net Profit/Loss,73,,,DrawDown,73,0.0,0.0
74,newsRACE,74,2021-03-05 17:08:00,185.7899932861328,185.7899932861328,185.5019989013672,185.51600646972656,2.8222787235309686e-06,,-0.345158358569608,MA_cross_Sentiment,74,737854.713888889,Broker,74,1000.0,1000.0,BuySell,74,,,Trades - Net Profit/Loss,74,,,DrawDown,74,0.0,0.0
75,newsRACE,75,2021-03-05 17:10:00,185.47999572753906,185.80099487304688,185.47999572753906,185.80099487304688,3.257915377151619e-06,,-0.3620478782541614,MA_cross_Sentiment,75,737854.7152777778,Broker,75,1000.0,1000.0,BuySell,75,,,Trades - Net Profit/Loss,75,,,DrawDown,75,0.0,0.0
76,newsRACE,76,2021-03-05 17:12:00,185.4600067138672,185.4600067138672,185.4600067138672,185.4600067138672,3.7233963408676655e-06,,-0.3765226457866008,MA_cross_Sentiment,76,737854.7166666667,Broker,76,1000.0,1000.0,BuySell,76,,,Trades - Net Profit/Loss,76,,,DrawDown,76,0.0,0.0
77,newsRACE,77,2021-03-05 17:14:00,185.82000732421875,185.82000732421875,185.6999969482422,185.6999969482422,4.21872161467911e-06,,-0.38858266116692625,MA_cross_Sentiment,77,737854.7180555556,Broker,77,1000.0,1000.0,BuySell,77,,,Trades - Net Profit/Loss,77,,,DrawDown,77,0.0,0.0
78,newsRACE,78,2021-03-05 17:16:00,185.97999572753906,186.02999877929688,185.97999572753906,186.00999450683594,4.7438911985859495e-06,,-0.3982279243951377,MA_cross_Sentiment,78,737854.7194444444,Broker,78,1000.0,1000.0,BuySell,78,,,Trades - Net Profit/Loss,78,,,DrawDown,78,0.0,0.0
79,newsRACE,79,2021-03-05 17:20:00,186.01499938964844,186.16000366210938,186.01499938964844,186.0850067138672,5.88376329668582e-06,,-0.41027419439521884,MA_cross_Sentiment,79,737854.7222222222,Broker,79,1000.0,1000.0,BuySell,79,,,Trades - Net Profit/Loss,79,,,DrawDown,79,0.0,0.0
