===============================================================================
Id,newsF,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
77,newsF,77,2021-03-05 17:02:00,11.919899940490723,11.930000305175781,11.899999618530273,11.917699813842773,0.2862582890948566,,0.1437321675250685,MA_cross_Sentiment,77,737854.7097222222,Broker,77,1000.0,1000.0,BuySell,77,,,Trades - Net Profit/Loss,77,,,DrawDown,77,0.0,0.0
78,newsF,78,2021-03-05 17:04:00,11.914999961853027,11.920000076293945,11.875,11.895000457763672,0.323388883889962,,0.18498063444549498,MA_cross_Sentiment,78,737854.7111111111,Broker,78,1000.0,1000.0,BuySell,78,,,Trades - Net Profit/Loss,78,,,DrawDown,78,0.0,0.0
79,newsF,79,2021-03-05 17:06:00,11.89490032196045,11.916999816894531,11.890000343322754,11.890000343322754,0.36225877771724707,,0.2311699886991353,MA_cross_Sentiment,79,737854.7125,Broker,79,1000.0,1000.0,BuySell,79,,,Trades - Net Profit/Loss,79,,,DrawDown,79,0.0,0.0
80,newsF,80,2021-03-05 17:08:00,11.895000457763672,11.899999618530273,11.869999885559082,11.879899978637695,0.4028679705767121,,0.28230023028598944,MA_cross_Sentiment,80,737854.713888889,Broker,80,1000.0,1000.0,BuySell,80,,,Trades - Net Profit/Loss,80,,,DrawDown,80,0.0,0.0
81,newsF,81,2021-03-05 17:10:00,11.879300117492676,11.904999732971191,11.869999885559082,11.885000228881836,0.4452164624683568,,0.3383713592060574,MA_cross_Sentiment,81,737854.7152777778,Broker,81,1000.0,1000.0,BuySell,81,,,Trades - Net Profit/Loss,81,,,DrawDown,81,0.0,0.0
82,newsF,82,2021-03-05 17:12:00,11.885000228881836,11.906999588012695,11.870100021362305,11.890000343322754,0.4893042533921812,,0.39938337545933916,MA_cross_Sentiment,82,737854.7166666667,Broker,82,1000.0,1000.0,BuySell,82,,,Trades - Net Profit/Loss,82,,,DrawDown,82,0.0,0.0
83,newsF,83,2021-03-05 17:14:00,11.885000228881836,11.930000305175781,11.869999885559082,11.920100212097168,0.5351313433481856,,0.4653362790458348,MA_cross_Sentiment,83,737854.7180555556,Broker,83,1000.0,1000.0,BuySell,83,,,Trades - Net Profit/Loss,83,,,DrawDown,83,0.0,0.0
84,newsF,84,2021-03-05 17:16:00,11.930000305175781,11.947600364685059,11.910099983215332,11.944999694824219,0.5826977323363696,,0.5362300699655442,MA_cross_Sentiment,84,737854.7194444444,Broker,84,1000.0,1000.0,BuySell,84,,,Trades - Net Profit/Loss,84,,,DrawDown,84,0.0,0.0
85,newsF,85,2021-03-05 17:18:00,11.944999694824219,11.970000267028809,11.921199798583984,11.954999923706055,0.6320034203567335,,0.6120647482184676,MA_cross_Sentiment,85,737854.7208333333,Broker,85,1000.0,1000.0,BuySell,85,,,Trades - Net Profit/Loss,85,,,DrawDown,85,0.0,0.0
86,newsF,86,2021-03-05 17:20:00,11.949999809265137,11.984999656677246,11.949999809265137,11.979900360107422,0.6830484074092772,,0.6928403138046046,MA_cross_Sentiment,86,737854.7222222222,Broker,86,1000.0,1000.0,BuySell,86,,,Trades - Net Profit/Loss,86,,,DrawDown,86,0.0,0.0
87,newsF,87,2021-03-05 17:22:00,11.970000267028809,12.0,11.960100173950195,11.993800163269043,0.7344421494059398,,0.7763230413956517,MA_cross_Sentiment,87,737854.723611111,Broker,87,1000.0,1000.0,BuySell,87,,,Trades - Net Profit/Loss,87,,,DrawDown,87,0.0,0.0
